source	target	time	rating	comment
6	2	2010-11-08 18:45:11.728359936	4	NaN
6	5	2010-11-08 18:45:41.533780224	2	NaN
1	15	2010-11-08 19:05:40.390490112	1	NaN
4	3	2010-11-08 19:41:17.369750016	7	NaN
13	16	2010-11-08 22:10:54.447459840	8	NaN
13	10	2010-11-08 22:11:40.795140096	8	NaN
7	5	2010-11-10 04:18:20.479130112	1	NaN
2	21	2010-11-10 06:29:16.809380096	5	NaN
2	20	2010-11-10 06:30:22.214729984	5	NaN
21	2	2010-11-10 09:23:01.527869952	5	NaN
21	1	2010-11-11 02:10:11.463650048	8	NaN
21	10	2010-11-11 02:10:38.442599936	8	NaN
21	8	2010-11-11 02:10:50.590060032	9	NaN
21	3	2010-11-11 02:12:05.738310144	7	NaN
17	3	2010-11-11 02:25:13.037110016	5	NaN
17	23	2010-11-11 15:34:28.484859904	1	NaN
10	1	2010-11-12 09:54:16.328979968	8	NaN
10	6	2010-11-12 09:55:31.222170112	7	NaN
10	21	2010-11-12 09:55:45.646630144	8	NaN
10	8	2010-11-12 09:56:07.709500160	1	NaN
10	25	2010-11-12 09:57:21.665080064	10	NaN
10	2	2010-11-12 09:57:51.042330112	7	NaN
10	3	2010-11-12 09:57:55.709580032	7	NaN
4	26	2010-11-13 09:48:13.990289920	1	NaN
26	4	2010-11-13 09:48:23.577850112	1	NaN
5	1	2010-11-13 14:58:18.870480128	3	NaN
5	6	2010-11-13 14:58:39.009819904	3	NaN
5	7	2010-11-13 14:59:07.437949952	1	NaN
1	5	2010-11-14 04:57:23.199630080	4	NaN
6	4	2010-11-14 21:38:20.429299968	2	NaN
4	6	2010-11-14 21:39:16.502969856	5	NaN
2	4	2010-11-14 21:48:23.539289856	5	NaN
17	28	2010-11-15 15:48:01.520989952	1	NaN
17	13	2010-11-16 02:09:27.895379968	2	NaN
13	17	2010-11-16 02:13:31.944519936	2	NaN
13	29	2010-11-18 13:50:12.273319936	2	NaN
29	13	2010-11-18 14:21:58.308819968	2	NaN
